# Title: A Search for L/T Transition Dwarfs With Pan-STARRS1 and WISE.
#        III. Young L Dwarf Discoveries and Proper Motion Catalogs
#        in Taurus and Scorpius-Centaurus
# Authors: William M. J. Best, Michael C. Liu, Eugene A. Magnier,
#          Brendan P. Bowler, Kimberly M. Aller, Zhoujian Zhang,
#          Michael C. Kotson, W. S. Burgett, K. C. Chambers,
#          P. Draper, H. Flewelling, K. W. Hodapp, N. Kaiser,
#          N. Metcalfe, R. J. Wainscoat, C. Waters
# Accepted by ApJ
# arXiv: 1702.00789
# 
# Table: Proper Motions of Upper Scorpius Members (Table 9)
# Version: 2017-01-31
# 
# ================================================================================
# Notes:
# - This table contains 482 rows and 14 columns.
# - Fields with no data are filled with "NaN".
#
# - The objects in this table are taken from the catalogs of
#   Luhman & Mamajek (2014), Dawson et al. (2014), and Rizzuto et al. (2015),
#   except for PSO J237.1470-23.1489 and PSO J239.7015-23.2665 which are new
#   discoveries presented in this paper.  We adopt a photometric precision floor
#   of 0.01 mag for the PS1 photometry, following the analysis of
#   Schlafly et al. (2012).  The errors reported in the PS1 database are formal
#   errors that do not include systematics, and are often smaller.
# 
# ================================================================================
# Column descriptions:
#  N  Label         Format   Units   Description
#  1  Name          string           Name used in the object's discovery or spectral confirmation paper
#  2  i_p1          float    mag     PS1 i magnitude
#  3  i_err         float    mag     Error in PS1 i magnitude
#  4  z_p1          float    mag     PS1 z magnitude
#  5  z_err         float    mag     Error in PS1 z magnitude
#  6  y_p1          float    mag     PS1 y magnitude
#  7  y_err         float    mag     Error in PS1 y magnitude
#  8  mu_ra         float    mas/yr  Proper motion in Right Ascension [mu_ra * cos(dec)]
#  9  emu_ra        float    mas/yr  Error in proper motion in Right Ascension
# 10  mu_de         float    mas/yr  Proper motion in Declination
# 11  emu_de        float    mas/yr  Error in proper motion in Declination
# 12  rchisq        float            Reduced chi-squared of the proper motion fit
# 13  n_ep          integer          Number of epochs used in the proper motion fit
# 14  d_time        float    years   Time baseline of the proper moton fit
# 
# ================================================================================
# ======================  Reliable fits: 0.3 < rchisq < 40  ======================
# ================================================================================
#                   Name    i_p1  i_err    z_p1  z_err    y_p1  y_err    mu_ra  emu_ra    mu_de  emu_de  rchisq  n_ep  d_time
 2MASS_J16005265-2812087   16.65   0.01   15.66   0.01   15.10   0.01     -6.8     1.6    -28.8     1.6     1.5    73    15.9
 2MASS_J16010605-2215246   14.90   0.01   14.12   0.01   13.70   0.01     -8.1     1.9    -29.2     2.8     2.7    57    15.1
 2MASS_J16011915-2306394   16.86   0.01   15.78   0.01   15.19   0.01    -16.6     2.3    -27.9     3.7     3.4    50    15.1
 2MASS_J16012238-2708194   18.80   0.01   17.38   0.01   16.55   0.01     -6.7     2.4    -20.1     3.8     2.1    58    16.5
 2MASS_J16012902-2509069     NaN    NaN     NaN    NaN   12.67   0.01    -10.9     1.6   -100.6    32.4      27    69    16.5
 2MASS_J16014157-2111380   15.88   0.02   14.89   0.04   14.38   0.01    -10.2     1.4    -17.5     2.2     1.7    76    16.5
 2MASS_J16014528-2138551   18.91   0.01   17.64   0.01   16.92   0.01     -6.3     2.3    -10.4     1.7     1.8    64    16.5
 2MASS_J16014769-2441011   16.85   0.01   15.89   0.01   15.38   0.01     -7.9     1.7    -15.7     5.7     2.1    46    16.5
 2MASS_J16014955-2351082   15.64   0.01   14.76   0.01   14.30   0.01    -10.4     1.9    -19.3     1.7     4.1    54    16.5
 2MASS_J16015498-2131230   16.22   0.01   15.23   0.01   14.69   0.01    -14.6     3.4    -23.2     1.6      12    66    16.0
 2MASS_J16015976-1952202   15.29   0.01   14.36   0.01   13.89   0.01    -15.3     2.0    -27.8     2.2     3.1    66    16.0
 2MASS_J16020287-2236139   14.77   0.01   14.32   0.01   14.10   0.01    -22.0     8.6    -50.3     9.1      15    50    16.5
 2MASS_J16020429-2050425   16.05   0.01   14.98   0.01   14.38   0.01     -5.1     1.6    -18.0     3.9     2.8    79    16.5
 2MASS_J16021096-2007495   15.16   0.01   14.28   0.01   13.83   0.01     -6.0     1.6    -13.9     3.6     3.1    78    16.5
 2MASS_J16021489-2438325   14.93   0.01   14.01   0.01   13.52   0.01    -16.8     1.5    -34.8     2.9     2.4    41    15.9
 2MASS_J16022357-2259332   14.89   0.01   13.91   0.01   13.38   0.01    -10.8     2.0    -17.2     5.1     2.9    56    16.5
 2MASS_J16022616-2002403   14.65   0.01   13.79   0.01   13.34   0.01     -6.9     1.1    -14.2     7.5     4.4    83    16.5
 2MASS_J16023185-2132340   15.65   0.01   14.73   0.01   14.20   0.01     -7.2     3.6    -16.6     3.4     4.5    39    16.5
 2MASS_J16023227-2200486   16.57   0.01   15.48   0.01   14.88   0.01    -10.4     1.5    -20.2     1.8     1.4    64    16.0
 2MASS_J16023418-2200354   16.25   0.01   15.02   0.01   14.37   0.01    -11.9     1.7    -22.9     1.3     1.7    70    16.0
 2MASS_J16023587-2320170     NaN    NaN     NaN    NaN   12.53   0.01    -10.8     3.4    -27.7     6.3     8.8    39    16.5
 2MASS_J16024142-2248419   16.20   0.01   15.17   0.01   14.56   0.01    -10.9     2.0    -20.1     6.2     3.6    42    16.5
 2MASS_J16024152-2138245   15.05   0.01   14.22   0.01   13.72   0.01    -11.7     1.6    -13.9     2.8     3.5    71    16.5
 2MASS_J16024448-2543323   14.68   0.01   13.93   0.01   13.57   0.01    -12.5     3.3    -16.2     4.2     5.9    75    16.5
 2MASS_J16024544-1930377   15.08   0.01   14.12   0.01   13.60   0.01     -6.7     1.1    -14.9     2.6     3.0    87    16.0
 2MASS_J16024546-1946034   15.25   0.01   14.65   0.01   14.33   0.01     -3.5     1.1      6.5     5.5     3.1    95    16.5
 2MASS_J16024575-2304509   15.35   0.01   14.38   0.01   13.87   0.01    -21.3     1.8    -26.6     6.1     3.3    56    16.5
 2MASS_J16025116-2401502   15.67   0.01   14.65   0.01   14.04   0.01    -16.5     5.6    -10.1    12.3      24    46    16.5
 2MASS_J16025214-2121296   18.52   0.01   17.10   0.02   16.34   0.01     -5.4     1.9    -17.6     1.9     2.1    54    16.5
 2MASS_J16025529-1922431   16.06   0.01   14.95   0.01   14.33   0.01    -11.0     1.8    -19.5     1.5     2.2    97    16.0
 2MASS_J16030161-2207523   15.70   0.01   14.78   0.01   14.27   0.01     -9.1     2.1    -18.7     4.4     4.1    51    16.5
 2MASS_J16031329-2112569   14.98   0.01   14.12   0.01   13.62   0.01     -9.5     1.9    -19.3     3.1     3.3    83    16.5
 2MASS_J16031491-2234454   14.59   0.01   13.62   0.01   13.13   0.01     -9.7     1.4    -19.0     7.0     3.9    51    16.5
 2MASS_J16032625-2155378   15.46   0.01   14.56   0.01   14.05   0.01    -11.3     1.5    -19.1     2.9     2.2    67    16.5
 2MASS_J16032940-1955038   14.62   0.01   13.81   0.01   13.39   0.01     -3.9     1.1    -12.8     2.8     5.2    93    16.5
 2MASS_J16033471-1829303   15.54   0.01   14.56   0.01   14.02   0.01     -7.0     1.0    -16.5     1.5     2.3    84    16.5
 2MASS_J16034030-2335237   14.79   0.01   14.01   0.01   13.61   0.01    -10.2     2.9    -16.9     6.9     5.6    51    16.5
 2MASS_J16035175-2140154   14.57   0.01   13.55   0.01   13.00   0.01     -9.3     1.5    -24.4     2.1     2.1    70    16.0
 2MASS_J16035404-2509393   14.91   0.01   14.08   0.01   13.64   0.01    -10.5     2.0    -21.9     5.4     6.3    61    16.5
 2MASS_J16035652-2357250   16.51   0.01   15.59   0.01   15.08   0.01     -8.6     1.1    -16.1     4.2     1.9    47    16.5
 2MASS_J16041792-1941505   16.65   0.01   15.47   0.01   14.91   0.01     -5.7     1.4    -16.2     2.2     1.5    78    16.5
 2MASS_J16042796-1904337   14.77   0.01   13.93   0.01   13.46   0.01     -1.8     1.7    -16.9     4.4     8.5    78    16.5
 2MASS_J16043565-1948302   15.02   0.01   14.10   0.01   13.58   0.01     -9.1     1.7    -21.8     2.3     3.2    70    15.9
 2MASS_J16044026-2254323   18.00   0.01   16.72   0.01   16.18   0.04    -10.6     3.3    -17.4     2.7     5.0    49    16.5
 2MASS_J16044068-1946538   16.56   0.01   15.53   0.01   14.96   0.01     -5.8     1.9    -14.8     3.5     5.7    91    16.5
 2MASS_J16044075-1936525   17.04   0.01   15.84   0.01   15.15   0.01     -8.7     2.9    -16.5     4.8     2.0    74    16.5
 2MASS_J16044303-2318258   17.14   0.01   15.98   0.01   15.31   0.01     -8.7     1.5    -17.9     2.4     1.5    88    16.5
 2MASS_J16044930-2045581   19.21   0.01   17.76   0.01   16.90   0.01     -6.0     1.6    -16.9     2.4     1.4    47    16.5
 2MASS_J16044997-2038353   14.86   0.01   13.90   0.01   13.40   0.01     -6.9     2.0    -16.1     5.2     4.8    74    16.5
 2MASS_J16045199-2224108   17.85   0.01   16.44   0.01   15.65   0.01     -9.1     2.1    -20.4     2.1     1.0    52    15.9
 2MASS_J16045379-2002271   16.38   0.01   15.40   0.01   14.87   0.01     -7.8     0.8    -16.1     2.0     1.6    81    16.5
 2MASS_J16045581-2307438   17.38   0.01   16.14   0.01   15.42   0.01     -6.4     3.6    -18.2     5.7     2.4    72    16.5
 2MASS_J16045716-2104160   15.07   0.01   14.27   0.01   13.84   0.01     -7.5     2.2    -19.5     5.8     2.5    67    16.5
 2MASS_J16050231-1941554   15.14   0.01   14.32   0.01   13.89   0.01     -7.2     2.3    -14.8     6.0     7.1    79    16.5
 2MASS_J16050474-1956274     NaN    NaN     NaN    NaN   12.54   0.01     -0.7     4.7    -17.4     5.6      24    81    16.5
 2MASS_J16051403-2406524   16.16   0.01   15.01   0.01   14.39   0.01    -12.0     1.4    -24.1     1.7     1.6    80    16.0
